review_date,original_text,rating_score,translated_text,cleaned_text,tokenized_text,initial_token_count,stopword_removed_text,token_count,stemmed_text,ulasan_bersih,lexicon_score,lexicon_to_rating,sentiment_label,Platform
2020-09-04,"Akhirnya ada pilihan Streaming Video baru kebetulan Netflix besok langganan-nya habis, apalagi ada film-filmnya Disney, Marvel, Fox, NatGeo dan lain-lain disini.
Mantaaappp 🔥",5,"Akhirnya ada pilihan Streaming Video baru kebetulan Netflix besok langganan-nya habis, apalagi ada film-filmnya Disney, Marvel, Fox, NatGeo dan lain-lain disini.
Mantaaappp 🔥",akhirnya ada pilihan streaming video baru kebetulan netflix besok langganannya habis apalagi ada filmfilmnya disney marvel fox natgeo dan lainlain disini mantaaappp 🔥,"['akhirnya', 'ada', 'pilihan', 'streaming', 'video', 'baru', 'kebetulan', 'netflix', 'besok', 'langganannya', 'habis', 'apalagi', 'ada', 'filmfilmnya', 'disney', 'marvel', 'fox', 'natgeo', 'dan', 'lainlain', 'disini', 'mantaaappp', '🔥']",23,"['pilihan', 'streaming', 'video', 'netflix', 'besok', 'langganannya', 'habis', 'filmfilmnya', 'marvel', 'fox', 'natgeo', 'lainlain', 'mantaaappp', '🔥']",14,"['pilih', 'streaming', 'video', 'netflix', 'besok', 'langgan', 'habis', 'filmfilmnya', 'marvel', 'fox', 'natgeo', 'lainlain', 'mantaaappp', '']",pilih streaming video netflix besok langgan habis filmfilmnya marvel fox natgeo lainlain mantaaappp ,-3,2,Negatif,App Store
2020-09-04,Tidak bisa casting melalui chromecast. sms OTP tidak diterima,2,Tidak bisa casting melalui chromecast. sms OTP tidak diterima,tidak bisa casting melalui chromecast sms otp tidak diterima,"['tidak', 'bisa', 'casting', 'melalui', 'chromecast', 'sms', 'otp', 'tidak', 'diterima']",9,"['casting', 'chromecast', 'sms', 'otp', 'diterima']",5,"['casting', 'chromecast', 'sms', 'otp', 'terima']",casting chromecast sms otp terima,2,4,Positif,App Store
2020-09-04,"Saat hendak login menerima kode verifikasi melalui sms. Tapi setelah kode diinput dan klik “continue” malah tidak bisa. 
Responnya kode verifikasi incorect",5,"Saat hendak login menerima kode verifikasi melalui sms. Tapi setelah kode diinput dan klik “continue” malah tidak bisa.
Responnya kode verifikasi incorect",saat hendak login menerima kode verifikasi melalui sms tapi setelah kode diinput dan klik “continue” malah tidak bisa responnya kode verifikasi incorect,"['saat', 'hendak', 'login', 'menerima', 'kode', 'verifikasi', 'melalui', 'sms', 'tapi', 'setelah', 'kode', 'diinput', 'dan', 'klik', '“', 'continue', '”', 'malah', 'tidak', 'bisa', 'responnya', 'kode', 'verifikasi', 'incorect']",24,"['login', 'menerima', 'kode', 'verifikasi', 'sms', 'kode', 'diinput', 'klik', '“', 'continue', '”', 'responnya', 'kode', 'verifikasi', 'incorect']",15,"['login', 'terima', 'kode', 'verifikasi', 'sms', 'kode', 'diinput', 'klik', '', 'continue', '', 'responnya', 'kode', 'verifikasi', 'incorect']",login terima kode verifikasi sms kode diinput klik  continue  responnya kode verifikasi incorect,-7,1,Negatif,App Store
2020-09-04,"Luar biasa film-film nya emang yg kita suka semuanya, bukan film-film ga jelas, top dahhh 👍🏼👍🏼👍🏼👍🏼👍🏼",5,"Luar biasa film-film nya emang yg kita suka semuanya, bukan film-film ga jelas, top dahhh 👍🏼👍🏼👍🏼👍🏼👍🏼",luar biasa filmfilm nya emang yg kita suka semuanya bukan filmfilm ga jelas top dahhh 👍🏼👍🏼👍🏼👍🏼👍🏼,"['luar', 'biasa', 'filmfilm', 'nya', 'emang', 'yg', 'kita', 'suka', 'semuanya', 'bukan', 'filmfilm', 'ga', 'jelas', 'top', 'dahhh', '👍🏼👍🏼👍🏼👍🏼👍🏼']",16,"['filmfilm', 'emang', 'suka', 'filmfilm', 'top', 'dahhh', '👍🏼👍🏼👍🏼👍🏼👍🏼']",7,"['filmfilm', 'emang', 'suka', 'filmfilm', 'top', 'dahhh', '']",filmfilm emang suka filmfilm top dahhh ,4,5,Positif,App Store
2020-09-04,"Untuk menonton di HP sangat bagus. Tidak kalah dari Netflix atau YouTube. Namun sayangnya aplikasi ini tidak mendukung cast ke Google Chromecast. Padahal aplikasi sejenis lainnya mendukung, seperti Netflix dan YouTube. Tolong ditambahkan fitur agar dapat cast ke Google Chromecast.",2,"Untuk menonton di HP sangat bagus. Tidak kalah dari Netflix atau YouTube. Namun sayangnya aplikasi ini tidak mendukung cast ke Google Chromecast. Padahal aplikasi sejenis lainnya mendukung, seperti Netflix dan YouTube. Tolong ditambahkan fitur agar dapat cast ke Google Chromecast.",untuk menonton di hp sangat bagus tidak kalah dari netflix atau youtube namun sayangnya aplikasi ini tidak mendukung cast ke google chromecast padahal aplikasi sejenis lainnya mendukung seperti netflix dan youtube tolong ditambahkan fitur agar dapat cast ke google chromecast,"['untuk', 'menonton', 'di', 'hp', 'sangat', 'bagus', 'tidak', 'kalah', 'dari', 'netflix', 'atau', 'youtube', 'namun', 'sayangnya', 'aplikasi', 'ini', 'tidak', 'mendukung', 'cast', 'ke', 'google', 'chromecast', 'padahal', 'aplikasi', 'sejenis', 'lainnya', 'mendukung', 'seperti', 'netflix', 'dan', 'youtube', 'tolong', 'ditambahkan', 'fitur', 'agar', 'dapat', 'cast', 'ke', 'google', 'chromecast']",40,"['hp', 'kalah', 'netflix', 'youtube', 'sayangnya', 'mendukung', 'cast', 'google', 'chromecast', 'sejenis', 'mendukung', 'netflix', 'youtube', 'fitur', 'cast', 'google', 'chromecast']",17,"['hp', 'kalah', 'netflix', 'youtube', 'sayang', 'dukung', 'cast', 'google', 'chromecast', 'jenis', 'dukung', 'netflix', 'youtube', 'fitur', 'cast', 'google', 'chromecast']",hp kalah netflix youtube sayang dukung cast google chromecast jenis dukung netflix youtube fitur cast google chromecast,1,3,Netral,App Store
2020-09-04,Dari dulu dulu kek muncul :v,5,Dari dulu dulu kek muncul :v,dari dulu dulu kek muncul v,"['dari', 'dulu', 'dulu', 'kek', 'muncul', 'v']",6,"['kek', 'muncul', 'v']",3,"['kek', 'muncul', 'v']",kek muncul v,-3,2,Negatif,App Store
2020-09-04,"Very appreciate, finally Disney+ arrived in Indonesia. Please add support to tvOS so appleTV user can enjoy it on a big screen, since its already available on androidTV as well.",5,"Sangat menghargai, akhirnya Disney+ tiba di Indonesia.Harap tambahkan dukungan ke TVOS sehingga pengguna AppleTV dapat menikmatinya di layar lebar, karena sudah tersedia di AndroidTV juga.",sangat menghargai akhirnya disney tiba di indonesiaharap tambahkan dukungan ke tvos sehingga pengguna appletv dapat menikmatinya di layar lebar karena sudah tersedia di androidtv juga,"['sangat', 'menghargai', 'akhirnya', 'disney', 'tiba', 'di', 'indonesiaharap', 'tambahkan', 'dukungan', 'ke', 'tvos', 'sehingga', 'pengguna', 'appletv', 'dapat', 'menikmatinya', 'di', 'layar', 'lebar', 'karena', 'sudah', 'tersedia', 'di', 'androidtv', 'juga']",25,"['menghargai', 'indonesiaharap', 'tambahkan', 'dukungan', 'tvos', 'pengguna', 'appletv', 'menikmatinya', 'layar', 'lebar', 'tersedia', 'androidtv']",12,"['harga', 'indonesiaharap', 'tambah', 'dukung', 'tvos', 'guna', 'appletv', 'nikmat', 'layar', 'lebar', 'sedia', 'androidtv']",harga indonesiaharap tambah dukung tvos guna appletv nikmat layar lebar sedia androidtv,13,5,Positif,App Store
2020-09-04,"Low price for subscription is nice, but it doesn’t offset the fact that the service lacks crucial feature like the ability to cast to TV using Google Cast / AirPlay, ability to login with email address. The content is actually different with the US. There is no new Mulan movie.",1,"Harga rendah untuk berlangganan bagus, tetapi tidak mengimbangi fakta bahwa layanan tidak memiliki fitur penting seperti kemampuan untuk melemparkan ke TV menggunakan Google Cast / AirPlay, kemampuan untuk masuk dengan alamat email.Konten sebenarnya berbeda dengan AS.Tidak ada film Mulan baru.",harga rendah untuk berlangganan bagus tetapi tidak mengimbangi fakta bahwa layanan tidak memiliki fitur penting seperti kemampuan untuk melemparkan ke tv menggunakan google cast airplay kemampuan untuk masuk dengan alamat emailkonten sebenarnya berbeda dengan astidak ada film mulan baru,"['harga', 'rendah', 'untuk', 'berlangganan', 'bagus', 'tetapi', 'tidak', 'mengimbangi', 'fakta', 'bahwa', 'layanan', 'tidak', 'memiliki', 'fitur', 'penting', 'seperti', 'kemampuan', 'untuk', 'melemparkan', 'ke', 'tv', 'menggunakan', 'google', 'cast', 'airplay', 'kemampuan', 'untuk', 'masuk', 'dengan', 'alamat', 'emailkonten', 'sebenarnya', 'berbeda', 'dengan', 'astidak', 'ada', 'film', 'mulan', 'baru']",39,"['harga', 'rendah', 'berlangganan', 'mengimbangi', 'fakta', 'layanan', 'memiliki', 'fitur', 'kemampuan', 'melemparkan', 'tv', 'google', 'cast', 'airplay', 'kemampuan', 'masuk', 'alamat', 'emailkonten', 'berbeda', 'astidak', 'film', 'mulan']",22,"['harga', 'rendah', 'langgan', 'imbang', 'fakta', 'layan', 'milik', 'fitur', 'mampu', 'lempar', 'tv', 'google', 'cast', 'airplay', 'mampu', 'masuk', 'alamat', 'emailkonten', 'beda', 'astidak', 'film', 'mulan']",harga rendah langgan imbang fakta layan milik fitur mampu lempar tv google cast airplay mampu masuk alamat emailkonten beda astidak film mulan,-20,1,Negatif,App Store
2020-09-04,Kan udah bayar di Telkomsel kok bayar lagi ?,5,Kan udah bayar di Telkomsel kok bayar lagi ?,kan udah bayar di telkomsel kok bayar lagi,"['kan', 'udah', 'bayar', 'di', 'telkomsel', 'kok', 'bayar', 'lagi']",8,"['bayar', 'telkomsel', 'bayar']",3,"['bayar', 'telkomsel', 'bayar']",bayar telkomsel bayar,-6,1,Negatif,App Store
2020-09-04,Terima kasih sudah mewujudkan disney+ di Indonesia,5,Terima kasih sudah mewujudkan disney+ di Indonesia,terima kasih sudah mewujudkan disney di indonesia,"['terima', 'kasih', 'sudah', 'mewujudkan', 'disney', 'di', 'indonesia']",7,"['terima', 'kasih', 'mewujudkan', 'indonesia']",4,"['terima', 'kasih', 'wujud', 'indonesia']",terima kasih wujud indonesia,3,4,Positif,App Store
