content,score,at,translated_content,cleaned_content,tokenized_content,initial_token_count,stopword_removed_content,token_count,stemmed_content,ulasan_bersih,skor_lexicon,skor_lexicon_ke_score,sentimen_multiclass
"Please fix the ""WiFi bug"" , i couldn't open the app on any wifi",2,2022-12-31 20:28:17,"Harap perbaiki ""bug wifi"", saya tidak bisa membuka aplikasi di wifi apa pun",harap perbaiki bug wifi saya tidak bisa membuka aplikasi di wifi apa pun,"['harap', 'perbaiki', 'bug', 'wifi', 'saya', 'tidak', 'bisa', 'membuka', 'aplikasi', 'di', 'wifi', 'apa', 'pun']",13,"['harap', 'perbaiki', 'bug', 'wifi', 'membuka', 'wifi']",6,"['harap', 'baik', 'bug', 'wifi', 'buka', 'wifi']",harap baik bug wifi buka wifi,-7,1,Negatif
"Lumayanlah alternatif hiburan Gratis otomatis, krn pake HALO.",4,2022-12-31 18:09:19,"Lumayanlah alternatif hiburan Gratis otomatis, krn pake HALO.",lumayanlah alternatif hiburan gratis otomatis krn pake halo,"['lumayanlah', 'alternatif', 'hiburan', 'gratis', 'otomatis', 'krn', 'pake', 'halo']",8,"['lumayanlah', 'alternatif', 'hiburan', 'gratis', 'otomatis', 'krn', 'pake', 'halo']",8,"['lumayan', 'alternatif', 'hibur', 'gratis', 'otomatis', 'krn', 'pake', 'halo']",lumayan alternatif hibur gratis otomatis krn pake halo,6,5,Positif
"Rada kesel pengen nonton, udah coba buat bayar yg perbulan tapi gak bisa""",3,2022-12-31 15:23:16,"Rada kesel pengen nonton, udah coba buat bayar yg perbulan tapi gak bisa""",rada kesel pengen nonton udah coba buat bayar yg perbulan tapi gak bisa,"['rada', 'kesel', 'pengen', 'nonton', 'udah', 'coba', 'buat', 'bayar', 'yg', 'perbulan', 'tapi', 'gak', 'bisa']",13,"['rada', 'kesel', 'pengen', 'nonton', 'coba', 'bayar', 'perbulan']",7,"['rada', 'kesel', 'ken', 'nonton', 'coba', 'bayar', 'bulan']",rada kesel ken nonton coba bayar bulan,-12,1,Negatif
Hebat,5,2022-12-31 12:50:14,Hebat,hebat,['hebat'],1,['hebat'],1,['hebat'],hebat,0,3,Netral
"Ga bisa"" mutar video",1,2022-12-31 11:58:09,"Ga bisa"" mutar video",ga bisa mutar video,"['ga', 'bisa', 'mutar', 'video']",4,"['mutar', 'video']",2,"['mutar', 'video']",mutar video,0,3,Netral
Apk tidak guna,1,2022-12-31 11:43:05,Apk tidak guna,apk tidak guna,"['apk', 'tidak', 'guna']",3,['apk'],1,['apk'],apk,0,3,Netral
Why keris siamang tunggal upin ipin movie cant play?,3,2022-12-31 08:39:49,Why keris siamang tunggal upin ipin movie cant play?,why keris siamang tunggal upin ipin movie cant play,"['why', 'keris', 'siamang', 'tunggal', 'upin', 'ipin', 'movie', 'cant', 'play']",9,"['why', 'keris', 'siamang', 'tunggal', 'upin', 'ipin', 'movie', 'cant', 'play']",9,"['why', 'keris', 'siamang', 'tunggal', 'upin', 'ipin', 'movie', 'cant', 'play']",why keris siamang tunggal upin ipin movie cant play,-6,1,Negatif
Mantap sih cuman masih kurang film nya,4,2022-12-31 08:21:26,Dengan teguh masih kekurangan filmnya,dengan teguh masih kekurangan filmnya,"['dengan', 'teguh', 'masih', 'kekurangan', 'filmnya']",5,"['teguh', 'kekurangan', 'filmnya']",3,"['teguh', 'kurang', 'film']",teguh kurang film,-3,2,Negatif
GK ada yg gratisan gak papa harus nonton iklan yg penting bisa nonton,1,2022-12-31 02:21:31,GK ada yg gratisan gak papa harus nonton iklan yg penting bisa nonton,gk ada yg gratisan gak papa harus nonton iklan yg penting bisa nonton,"['gk', 'ada', 'yg', 'gratisan', 'gak', 'papa', 'harus', 'nonton', 'iklan', 'yg', 'penting', 'bisa', 'nonton']",13,"['gk', 'gratisan', 'papa', 'nonton', 'iklan', 'nonton']",6,"['gk', 'gratis', 'papa', 'nonton', 'iklan', 'nonton']",gk gratis papa nonton iklan nonton,4,5,Positif
"Cok ngapain gw beli Disney dulu, Mending beli netfilx, Film nya lengkap, Gak kayak disney",1,2022-12-30 19:18:41,"Cok ngapain gw beli Disney dulu, Mending beli netfilx, Film nya lengkap, Gak kayak disney",cok ngapain gw beli disney dulu mending beli netfilx film nya lengkap gak kayak disney,"['cok', 'ngapain', 'gw', 'beli', 'disney', 'dulu', 'mending', 'beli', 'netfilx', 'film', 'nya', 'lengkap', 'gak', 'kayak', 'disney']",15,"['cok', 'ngapain', 'gw', 'beli', 'mending', 'beli', 'netfilx', 'film', 'lengkap', 'kayak']",10,"['cok', 'ngapain', 'gw', 'beli', 'mending', 'beli', 'netfilx', 'film', 'lengkap', 'kayak']",cok ngapain gw beli mending beli netfilx film lengkap kayak,-15,1,Negatif
Sebenrnua sih apk ini bagus cuma nak nonton Vidio yang ku suka malah harus bayar dulu,2,2022-12-30 17:19:37,Sebenrnua sih apk ini bagus cuma nak nonton Vidio yang ku suka malah harus bayar dulu,sebenrnua sih apk ini bagus cuma nak nonton vidio yang ku suka malah harus bayar dulu,"['sebenrnua', 'sih', 'apk', 'ini', 'bagus', 'cuma', 'nak', 'nonton', 'vidio', 'yang', 'ku', 'suka', 'malah', 'harus', 'bayar', 'dulu']",16,"['sebenrnua', 'sih', 'apk', 'nak', 'nonton', 'vidio', 'ku', 'suka', 'bayar']",9,"['sebenrnua', 'sih', 'apk', 'nak', 'nonton', 'vidio', 'ku', 'suka', 'bayar']",sebenrnua sih apk nak nonton vidio ku suka bayar,-4,1,Negatif
Video nya putus-putus padahal udah pake wifi,1,2022-12-30 13:08:31,Video nya putus-putus padahal udah pake wifi,video nya putusputus padahal udah pake wifi,"['video', 'nya', 'putusputus', 'padahal', 'udah', 'pake', 'wifi']",7,"['video', 'putusputus', 'pake', 'wifi']",4,"['video', 'putusputus', 'pake', 'wifi']",video putusputus pake wifi,0,3,Netral
Banyak yg gak bisa di puter film² baru nya,1,2022-12-30 12:07:17,Banyak yg gak bisa di puter film² baru nya,banyak yg gak bisa di puter film² baru nya,"['banyak', 'yg', 'gak', 'bisa', 'di', 'puter', 'film²', 'baru', 'nya']",9,"['puter', 'film²']",2,"['puter', 'film']",puter film,0,3,Netral
Untuk login ke TV sungguh susah sekali,1,2022-12-30 11:59:05,Untuk login ke TV sungguh susah sekali,untuk login ke tv sungguh susah sekali,"['untuk', 'login', 'ke', 'tv', 'sungguh', 'susah', 'sekali']",7,"['login', 'tv', 'sungguh', 'susah']",4,"['login', 'tv', 'sungguh', 'susah']",login tv sungguh susah,-4,1,Negatif
"Apknya bagus banget, recomend",5,2022-12-30 11:25:56,"Apknya bagus banget, recomend",apknya bagus banget recomend,"['apknya', 'bagus', 'banget', 'recomend']",4,"['apknya', 'recomend']",2,"['apknya', 'recomend']",apknya recomend,0,3,Netral
Saya suka disney ini,4,2022-12-30 10:11:10,Saya suka disney ini,saya suka disney ini,"['saya', 'suka', 'disney', 'ini']",4,['suka'],1,['suka'],suka,-1,3,Netral
