date,text,rating,translated_text,jumlah_kata_awal,cleaned_text,tokenized_text,initial_token_count,stopword_removed_text,token_count,stemmed_text,ulasan_bersih,skor_lexicon,skor_lexicon_ke_rating,sentimen_multiclass
2022-07-02,"Udah coba berlangganan, status ga berubah saldo dana ttp kepotong",1,"Udah coba berlangganan, status ga berubah saldo dana ttp kepotong",10,udah coba berlangganan status ga berubah saldo dana ttp kepotong,"['udah', 'coba', 'berlangganan', 'status', 'ga', 'berubah', 'saldo', 'dana', 'ttp', 'kepotong']",10,"['coba', 'berlangganan', 'status', 'berubah', 'saldo', 'dana', 'ttp', 'kepotong']",8,"['coba', 'langgan', 'status', 'ubah', 'saldo', 'dana', 'ttp', 'potong']",coba langgan status ubah saldo dana ttp potong,5,5,Positif
2022-12-25,"Adain terus ya kerjasamanya sama telkomsel, apalagi kalo ada promo paket pake telkomsel poin",5,"Adain terus ya kerjasamanya sama telkomsel, apalagi kalo ada promo paket pake telkomsel poin",14,adain terus ya kerjasamanya sama telkomsel apalagi kalo ada promo paket pake telkomsel poin,"['adain', 'terus', 'ya', 'kerjasamanya', 'sama', 'telkomsel', 'apalagi', 'kalo', 'ada', 'promo', 'paket', 'pake', 'telkomsel', 'poin']",14,"['adain', 'ya', 'kerjasamanya', 'telkomsel', 'kalo', 'promo', 'paket', 'pake', 'telkomsel', 'poin']",10,"['adain', 'ya', 'kerjasamanya', 'telkomsel', 'kalo', 'promo', 'paket', 'pake', 'telkomsel', 'poin']",adain ya kerjasamanya telkomsel kalo promo paket pake telkomsel poin,13,5,Positif
2020-11-21,"Haraganya bisa dikatakan sangat murah, banyak film yg didub, dan lain-lain. And for the suggestion, UI-nya agak diperbaiki agar nyaman dan fleksibel saat dipakai dan perbanyak film/series di aplikasi terutama dari original seriesnya.",5,"Haraganya bisa dikatakan sangat murah, banyak film yg didub, dan lain-lain. And for the suggestion, UI-nya agak diperbaiki agar nyaman dan fleksibel saat dipakai dan perbanyak film/series di aplikasi terutama dari original seriesnya.",33,haraganya bisa dikatakan sangat murah banyak film yg didub dan lainlain and for the suggestion uinya agak diperbaiki agar nyaman dan fleksibel saat dipakai dan perbanyak filmseries di aplikasi terutama dari original seriesnya,"['haraganya', 'bisa', 'dikatakan', 'sangat', 'murah', 'banyak', 'film', 'yg', 'didub', 'dan', 'lainlain', 'and', 'for', 'the', 'suggestion', 'uinya', 'agak', 'diperbaiki', 'agar', 'nyaman', 'dan', 'fleksibel', 'saat', 'dipakai', 'dan', 'perbanyak', 'filmseries', 'di', 'aplikasi', 'terutama', 'dari', 'original', 'seriesnya']",33,"['haraganya', 'murah', 'film', 'didub', 'lainlain', 'and', 'for', 'the', 'suggestion', 'uinya', 'diperbaiki', 'nyaman', 'fleksibel', 'dipakai', 'perbanyak', 'filmseries', 'original', 'seriesnya']",18,"['haraganya', 'murah', 'film', 'dub', 'lainlain', 'and', 'for', 'the', 'suggestion', 'uinya', 'baik', 'nyaman', 'fleksibel', 'pakai', 'banyak', 'filmseries', 'original', 'seriesnya']",haraganya murah film dub lainlain and for the suggestion uinya baik nyaman fleksibel pakai banyak filmseries original seriesnya,-2,2,Negatif
2020-12-25,"Perfect!
Sesuai janji kasih bintang 5 klo bisa di Apple TV and no ads.
Thank you.",5,"Perfect!
Sesuai janji kasih bintang 5 klo bisa di Apple TV and no ads.
Thank you.",16,perfect sesuai janji kasih bintang klo bisa di apple tv and no ads thank you,"['perfect', 'sesuai', 'janji', 'kasih', 'bintang', 'klo', 'bisa', 'di', 'apple', 'tv', 'and', 'no', 'ads', 'thank', 'you']",15,"['perfect', 'sesuai', 'janji', 'kasih', 'bintang', 'klo', 'apple', 'tv', 'and', 'no', 'ads', 'thank', 'you']",13,"['perfect', 'sesuai', 'janji', 'kasih', 'bintang', 'klo', 'apple', 'tv', 'and', 'no', 'ads', 'thank', 'you']",perfect sesuai janji kasih bintang klo apple tv and no ads thank you,6,5,Positif
2022-01-16,i did not get OTP code or a call. i can enjoy disney hotstar only from website.,1,saya tidak mendapatkan kode OTP atau panggilan. saya dapat menikmati Disney Hotstar hanya dari situs web.,17,saya tidak mendapatkan kode otp atau panggilan saya dapat menikmati disney hotstar hanya dari situs web,"['saya', 'tidak', 'mendapatkan', 'kode', 'otp', 'atau', 'panggilan', 'saya', 'dapat', 'menikmati', 'disney', 'hotstar', 'hanya', 'dari', 'situs', 'web']",16,"['kode', 'otp', 'panggilan', 'menikmati', 'hotstar', 'situs', 'web']",7,"['kode', 'otp', 'panggil', 'nikmat', 'hotstar', 'situs', 'web']",kode otp panggil nikmat hotstar situs web,-1,3,Netral
2022-06-03,"I didn’t press the button to connect to airplay but it keeps trying to do that!! Also please, you don’t need to ask me about mature and sensitive warning and make me have to click Continue every episode!! So annoying",2,"Saya tidak menekan tombol untuk menyambung ke pemutaran tetapi terus mencoba melakukan itu!! Tolong juga, Anda tidak perlu bertanya kepada saya tentang peringatan yang dewasa dan sensitif dan membuat saya harus mengklik Lanjutkan setiap episode!! Sangat menjengkelkan",40,saya tidak menekan tombol untuk menyambung ke pemutaran tetapi terus mencoba melakukan itu tolong juga anda tidak perlu bertanya kepada saya tentang peringatan yang dewasa dan sensitif dan membuat saya harus mengklik lanjutkan setiap episode sangat menjengkelkan,"['saya', 'tidak', 'menekan', 'tombol', 'untuk', 'menyambung', 'ke', 'pemutaran', 'tetapi', 'terus', 'mencoba', 'melakukan', 'itu', 'tolong', 'juga', 'anda', 'tidak', 'perlu', 'bertanya', 'kepada', 'saya', 'tentang', 'peringatan', 'yang', 'dewasa', 'dan', 'sensitif', 'dan', 'membuat', 'saya', 'harus', 'mengklik', 'lanjutkan', 'setiap', 'episode', 'sangat', 'menjengkelkan']",37,"['menekan', 'tombol', 'menyambung', 'pemutaran', 'mencoba', 'peringatan', 'dewasa', 'sensitif', 'mengklik', 'lanjutkan', 'episode', 'menjengkelkan']",12,"['tekan', 'tombol', 'sambung', 'putar', 'coba', 'ingat', 'dewasa', 'sensitif', 'klik', 'lanjut', 'episode', 'jengkel']",tekan tombol sambung putar coba ingat dewasa sensitif klik lanjut episode jengkel,-16,1,Negatif
2022-07-15,I dont even get any verification code for multiple times,5,Saya bahkan tidak mendapatkan kode verifikasi apa pun beberapa kali,10,saya bahkan tidak mendapatkan kode verifikasi apa pun beberapa kali,"['saya', 'bahkan', 'tidak', 'mendapatkan', 'kode', 'verifikasi', 'apa', 'pun', 'beberapa', 'kali']",10,"['kode', 'verifikasi', 'kali']",3,"['kode', 'verifikasi', 'kali']",kode verifikasi kali,-3,2,Negatif
2022-08-20,Kayak titit,1,Kayak titit,2,kayak titit,"['kayak', 'titit']",2,"['kayak', 'titit']",2,"['kayak', 'titit']",kayak titit,-3,2,Negatif
2020-09-06,"Please make a support for chromecast so our family can watch in TV, this is not comfortable when we as family watching in smaller screen mobile devices",1,"Mohon dukungan chromecast agar keluarga kita bisa menonton di TV, hal ini tidak nyaman jika kita sekeluarga menonton di perangkat seluler dengan layar yang lebih kecil",27,mohon dukungan chromecast agar keluarga kita bisa menonton di tv hal ini tidak nyaman jika kita sekeluarga menonton di perangkat seluler dengan layar yang lebih kecil,"['mohon', 'dukungan', 'chromecast', 'agar', 'keluarga', 'kita', 'bisa', 'menonton', 'di', 'tv', 'hal', 'ini', 'tidak', 'nyaman', 'jika', 'kita', 'sekeluarga', 'menonton', 'di', 'perangkat', 'seluler', 'dengan', 'layar', 'yang', 'lebih', 'kecil']",26,"['mohon', 'dukungan', 'chromecast', 'keluarga', 'tv', 'nyaman', 'sekeluarga', 'perangkat', 'seluler', 'layar']",10,"['mohon', 'dukung', 'chromecast', 'keluarga', 'tv', 'nyaman', 'keluarga', 'perangkat', 'seluler', 'layar']",mohon dukung chromecast keluarga tv nyaman keluarga perangkat seluler layar,0,3,Netral
2022-11-28,Thanks udah fasilitasi saya nntn Criminal Minds Evolution. Jaya jaya jaya utk Disney+hotstar,5,Thanks udah fasilitasi saya nntn Criminal Minds Evolution. Jaya jaya jaya utk Disney+hotstar,13,thanks udah fasilitasi saya nntn criminal minds evolution jaya jaya jaya utk disneyhotstar,"['thanks', 'udah', 'fasilitasi', 'saya', 'nntn', 'criminal', 'minds', 'evolution', 'jaya', 'jaya', 'jaya', 'utk', 'disneyhotstar']",13,"['thanks', 'fasilitasi', 'nntn', 'criminal', 'minds', 'evolution', 'jaya', 'jaya', 'jaya', 'utk', 'disneyhotstar']",11,"['thanks', 'fasilitas', 'nntn', 'criminal', 'minds', 'evolution', 'jaya', 'jaya', 'jaya', 'utk', 'disneyhotstar']",thanks fasilitas nntn criminal minds evolution jaya jaya jaya utk disneyhotstar,11,5,Positif
