content,score,at,translated_content
"Please fix the ""WiFi bug"" , i couldn't open the app on any wifi",2,2022-12-31 20:28:17,"Tolong perbaiki ""bug WiFi"", saya tidak bisa membuka aplikasi di wifi mana pun"
"Lumayanlah alternatif hiburan Gratis otomatis, krn pake HALO.",4,2022-12-31 18:09:19,"Lumayanlah alternatif hiburan Gratis otomatis, krn pake HALO."
"Rada kesel pengen nonton, udah coba buat bayar yg perbulan tapi gak bisa""",3,2022-12-31 15:23:16,"Rada kesel pengen nonton, udah coba buat bayar yg perbulan tapi gak bisa"""
Hebat,5,2022-12-31 12:50:14,Hebat
"Ga bisa"" mutar video",1,2022-12-31 11:58:09,"Ga bisa"" mutar video"
Apk tidak guna,1,2022-12-31 11:43:05,Apk tidak guna
Why keris siamang tunggal upin ipin movie cant play?,3,2022-12-31 08:39:49,Why keris siamang tunggal upin ipin movie cant play?
Mantap sih cuman masih kurang film nya,4,2022-12-31 08:21:26,"Bagus sih, tapi filmnya masih belum ada"
GK ada yg gratisan gak papa harus nonton iklan yg penting bisa nonton,1,2022-12-31 02:21:31,GK ada yg gratisan gak papa harus nonton iklan yg penting bisa nonton
"Cok ngapain gw beli Disney dulu, Mending beli netfilx, Film nya lengkap, Gak kayak disney",1,2022-12-30 19:18:41,"Cok ngapain gw beli Disney dulu, Mending beli netfilx, Film nya lengkap, Gak kayak disney"
Sebenrnua sih apk ini bagus cuma nak nonton Vidio yang ku suka malah harus bayar dulu,2,2022-12-30 17:19:37,Sebenrnua sih apk ini bagus cuma nak nonton Vidio yang ku suka malah harus bayar dulu
Video nya putus-putus padahal udah pake wifi,1,2022-12-30 13:08:31,Video nya putus-putus padahal udah pake wifi
Banyak yg gak bisa di puter film² baru nya,1,2022-12-30 12:07:17,Banyak yg gak bisa di puter film² baru nya
Untuk login ke TV sungguh susah sekali,1,2022-12-30 11:59:05,Untuk login ke TV sungguh susah sekali
"Apknya bagus banget, recomend",5,2022-12-30 11:25:56,"Apknya bagus banget, recomend"
Saya suka disney ini,4,2022-12-30 10:11:10,Saya suka disney ini
Karena ngga bisa di download padahal memo ngga penuh terus jaringan masih bagus dan stabil udah selesai download kok ada bacaan kirimkan pesan ada permasalahan gitu jadi aku kasih bintang 1,1,2022-12-30 08:37:23,Karena ngga bisa di download padahal memo ngga penuh terus jaringan masih bagus dan stabil udah selesai download kok ada bacaan kirimkan pesan ada permasalahan gitu jadi aku kasih bintang 1
"Gk Bisa nonton Stand By Me Doraemon, Mengecewakan!",1,2022-12-30 03:31:21,"Gk Bisa nonton Stand By Me Doraemon, Mengecewakan!"
Film Marvel nya lambat update,3,2022-12-30 02:18:42,Film Marvel nya lambat update
kualitas videnya sudah saya setel ke yang paling tinggi tapi masih buruk kualitasnya,3,2022-12-29 15:48:00,kualitas videnya sudah saya setel ke yang paling tinggi tapi masih buruk kualitasnya
"Sudah berlangganan via telkomsel, tapi masih minta berlangganan terus..? Blm bisa dibuka. 😩😤",1,2022-12-29 15:24:14,"Sudah berlangganan via telkomsel, tapi masih minta berlangganan terus..? Blm bisa dibuka. 😩😤"
"saya sudah beli paket Disney hostar di my telkomsel tetapi pas login, akun nya belum berlangganan, gmana nih, apakah sudah tidak bekerja sama lagi?",1,2022-12-29 14:58:26,"saya sudah beli paket Disney hostar di my telkomsel tetapi pas login, akun nya belum berlangganan, gmana nih, apakah sudah tidak bekerja sama lagi?"
"Semoga ditahun depan Disney+ Hoststar semakin bagus , tidak ada kenaikan tarif seperti 100k /bulan , sangat tidak di sarankan. SEMOGA LEBIH SUKSES LAGI KEDEPANNYA 🔥",5,2022-12-29 13:56:06,"Semoga ditahun depan Disney+ Hoststar semakin bagus , tidak ada kenaikan tarif seperti 100k /bulan , sangat tidak di sarankan. SEMOGA LEBIH SUKSES LAGI KEDEPANNYA 🔥"
