text,rating,detected_language
"Udah coba berlangganan, status ga berubah saldo dana ttp kepotong",1,unclear
"Adain terus ya kerjasamanya sama telkomsel, apalagi kalo ada promo paket pake telkomsel poin",5,indonesian
"Haraganya bisa dikatakan sangat murah, banyak film yg didub, dan lain-lain. And for the suggestion, UI-nya agak diperbaiki agar nyaman dan fleksibel saat dipakai dan perbanyak film/series di aplikasi terutama dari original seriesnya.",5,indonesian
"Perfect!
Sesuai janji kasih bintang 5 klo bisa di Apple TV and no ads.
Thank you.",5,indonesian
i did not get OTP code or a call. i can enjoy disney hotstar only from website.,1,english
"I didn’t press the button to connect to airplay but it keeps trying to do that!! Also please, you don’t need to ask me about mature and sensitive warning and make me have to click Continue every episode!! So annoying",2,english
I dont even get any verification code for multiple times,5,unclear
Kayak titit,1,unclear
"Please make a support for chromecast so our family can watch in TV, this is not comfortable when we as family watching in smaller screen mobile devices",1,english
Thanks udah fasilitasi saya nntn Criminal Minds Evolution. Jaya jaya jaya utk Disney+hotstar,5,indonesian
Tolong jangan di kasih limit download dong,2,indonesian
"pas donlot stuck di 0% naik ampe 1-2 % doang, kuota ud kesedot lebih dr 1gb, jelek",1,indonesian
i cant login. I waited for the text message verification code and a phone but I didn’t get any,1,english
Download always error if I’m using mobile internet,1,unclear
Gak update .. nyesal berlangganan,1,unclear
Cuma kurang dark mode aja sih,4,indonesian
"Gabisa screen mirroring, gabisa colok kabel hdmi, ga bisa ntn di TV / layar lebih gede. 

Sort this out lah, uda telat masuk indonya, masa fitur appnya culun gini.",1,indonesian
"It keeps showing error 01100 though I have upgraded my Iphone 7 to ios 15.2.1, reinstall the app and restart the device.. please fix it",2,english
Why no Apple TV app???,4,english
"Lucu..pas download ga boleh di close app nya hrus standby terus kalo ga donlod nya ngulang lagi..terus parah nya ud donlod ampe 98% tiba2 suruh retry lgi alias ngulang donlod..really 🤨..
please fix in.. jangan bikin malu aja..sekelas Disney kok app nya kek app steraming abal2",1,indonesian
Competitve price than net,5,unclear
"Gan,... fitur airplay dong di tambahkan.. biar mantull gan",3,indonesian
Tidak ada film Mulan,2,indonesian
Thanks for finally providing the Apple TV app but please fix the log-in. It gets stuck after the OTP entry.,1,english
"Gabisa cast ke chromecast, apa2 an cb, pake cara lain jg gabisa, mirroring malah screen recorder detected, useless, nyesel langganan setahun",1,indonesian
Tolong ditambah Chromecast ya.,3,unclear
